Item,Plausibility,Voice,m,stdev
7,implausible,active,1,NA
7,implausible,passive,1,NA
7,plausible,active,7,NA
7,plausible,passive,7,NA
11,implausible,passive,1,NA
11,plausible,active,5,NA
11,plausible,passive,5,NA
15,implausible,active,1,NA
15,implausible,passive,1,NA
15,plausible,active,7,NA
15,plausible,passive,1,NA
17,implausible,active,1,NA
17,implausible,passive,1,NA
17,plausible,passive,7,NA
21,implausible,active,6,NA
21,implausible,passive,1,NA
21,plausible,active,7,NA
21,plausible,passive,7,NA
23,implausible,active,1,NA
23,implausible,passive,1,NA
23,plausible,active,1,NA
23,plausible,passive,7,NA
27,implausible,active,1,NA
27,plausible,active,7,NA
27,plausible,passive,7,NA
31,implausible,active,1,NA
31,implausible,passive,2,NA
31,plausible,active,7,NA
31,plausible,passive,7,NA
39,implausible,active,1,NA
39,implausible,passive,1,NA
39,plausible,passive,7,NA
45,implausible,active,1,NA
45,plausible,active,7,NA
45,plausible,passive,7,NA
47,implausible,active,1,NA
47,implausible,passive,1,NA
47,plausible,active,5,NA
47,plausible,passive,7,NA
49,implausible,active,1,NA
49,implausible,passive,1,NA
49,plausible,active,1,NA
49,plausible,passive,7,NA
51,implausible,active,1,NA
51,implausible,passive,1,NA
51,plausible,active,7,NA
53,implausible,active,1,NA
53,implausible,passive,1,NA
53,plausible,active,7,NA
53,plausible,passive,7,NA
57,implausible,active,1,NA
57,implausible,passive,1,NA
57,plausible,active,7,NA
57,plausible,passive,2,NA
59,implausible,active,6,NA
59,implausible,passive,1,NA
59,plausible,active,7,NA
59,plausible,passive,7,NA
61,implausible,passive,1,NA
61,plausible,active,7,NA
61,plausible,passive,7,NA
63,implausible,active,1,NA
63,implausible,passive,1,NA
63,plausible,active,1,NA
63,plausible,passive,7,NA
65,implausible,active,1,NA
65,implausible,passive,2,NA
65,plausible,passive,6,NA
67,implausible,active,6,NA
67,plausible,active,2,NA
67,plausible,passive,7,NA
73,implausible,active,1,NA
73,implausible,passive,4,NA
73,plausible,active,7,NA
73,plausible,passive,1,NA
75,implausible,active,1,NA
75,implausible,passive,1,NA
75,plausible,active,7,NA
81,implausible,active,1,NA
81,implausible,passive,2,NA
81,plausible,active,7,NA
81,plausible,passive,7,NA
85,implausible,active,1,NA
85,implausible,passive,1,NA
85,plausible,active,1,NA
85,plausible,passive,7,NA
87,implausible,active,1,NA
87,implausible,passive,1,NA
87,plausible,active,7,NA
87,plausible,passive,7,NA
89,implausible,active,4,NA
89,implausible,passive,3,NA
89,plausible,active,7,NA
105,implausible,passive,5,NA
105,plausible,active,7,NA
105,plausible,passive,7,NA
107,implausible,passive,2,NA
107,plausible,active,7,NA
107,plausible,passive,7,NA
109,implausible,active,6,NA
109,implausible,passive,7,NA
109,plausible,passive,7,NA
123,implausible,active,2,NA
123,plausible,active,6,NA
123,plausible,passive,7,NA
