WorkerId,TrialNum,Answer.Rating,TrialType,Voice,Plausibility,Item,Input.trial
A19WXS1CLVLEEX,1,7,AI,passive,plausible,47,The trousers were laundered by the contractor.
A19WXS1CLVLEEX,2,1,AI,active,implausible,85,The estate inspected the sheriff.
A19WXS1CLVLEEX,3,7,AAN,active,implausible,147,The successor chose the baron.
A19WXS1CLVLEEX,4,1,AI,passive,implausible,57,The carnivore was eaten by the steak.
A19WXS1CLVLEEX,5,7,AAN,active,plausible,173,The judge praised the gold medalist.
A19WXS1CLVLEEX,6,7,AAR,passive,plausible1,185,The preacher was hugged by the churchgoer.
A19WXS1CLVLEEX,7,7,AAN,active,plausible,153,The monarch banished the insurgent.
A19WXS1CLVLEEX,8,7,AI,active,plausible,53,The hoarder hid the stash.
A19WXS1CLVLEEX,9,1,AI,active,implausible,49,The wash basin cleaned the domestic.
A19WXS1CLVLEEX,10,6,AAR,passive,plausible1,237,The broker was introduced by the donor.
A19WXS1CLVLEEX,11,7,AI,passive,plausible,21,The octopus was grilled by the cook.
A19WXS1CLVLEEX,12,6,AAN,active,plausible,361,The TV station head promoted the newsagent.
A19WXS1CLVLEEX,13,7,AAN,active,plausible,341,The colonel supervised the cadet.
A19WXS1CLVLEEX,15,5,AAR,active,plausible0,197,The valet entertained the envoy.
A19WXS1CLVLEEX,16,5,AAN,passive,plausible,125,The trainer was defied by the biker.
A19WXS1CLVLEEX,17,5,AAR,passive,plausible0,265,The taxi-driver was repulsed by the postal worker.
A19WXS1CLVLEEX,18,7,AAR,active,plausible0,259,The accuser confronted the vandal.
A19WXS1CLVLEEX,19,5,AAR,passive,plausible1,375,The photographer was paid by the barrister.
A19WXS1CLVLEEX,20,7,AAN,passive,plausible,161,The inspector was conned by the impersonator.
A19WXS1CLVLEEX,21,1,AI,passive,implausible,15,The handyman was repaired by the faucet.
A19WXS1CLVLEEX,22,7,AAR,passive,plausible0,221,The diva was admired by the musician.
A19WXS1CLVLEEX,23,6,AAN,passive,plausible,353,The ghost was sensed by the channeler.
A19WXS1CLVLEEX,24,5,AAN,passive,implausible,105,The admirer was badgered by the director.
A19WXS1CLVLEEX,25,7,AI,passive,plausible,81,The suitcase was pulled by the stewardess.
A19WXS1CLVLEEX,26,7,AI,active,plausible,285,The attendant pressed the button.
A19WXS1CLVLEEX,27,5,AAN,active,implausible,163,The shopkeeper unnerved the pyromaniac.
A19WXS1CLVLEEX,28,1,AI,active,implausible,63,The dinner prepared the woman.
A19WXS1CLVLEEX,29,4,AI,passive,implausible,73,The advisor was edited by the paper.
A19WXS1CLVLEEX,30,4,AAN,passive,plausible,329,The spirit was vanquished by the exorcist.
A19WXS1CLVLEEX,31,7,AAR,active,plausible0,407,The cinematographer favored the movie star.
A19WXS1CLVLEEX,32,5,AAN,passive,implausible,343,The personal trainer was weighed by the Olympian.
A19WXS1CLVLEEX,33,6,AAR,active,plausible1,383,The newcomer snubbed the neighbor.
A19WXS1CLVLEEX,35,1,AI,active,implausible,23,The victory guaranteed the skipper.
A19WXS1CLVLEEX,36,2,AAR,active,plausible0,379,The fashionista humiliated the mode.
A19WXS1CLVLEEX,37,6,AAR,passive,plausible0,397,The loyalist was upset by the infantryman.
A19WXS1CLVLEEX,38,4,AAN,passive,implausible,155,The robber was burgled by the industrialist.
A19WXS1CLVLEEX,39,3,AAN,passive,implausible,177,The environmentalist was cautioned by the tobacconist.
A19WXS1CLVLEEX,40,5,AAN,active,implausible,357,The ruffian released the bailiff.
A19WXS1CLVLEEX,41,6,AAR,passive,plausible1,399,The claims adjuster was harassed by the retailer.
A19WXS1CLVLEEX,42,7,AI,active,plausible,7,The adventurer requested the beverage.
A19WXS1CLVLEEX,43,5,AAR,active,plausible1,207,The creditor assuaged the actuary.
A19WXS1CLVLEEX,44,7,AAR,passive,plausible0,183,The athlete was vexed by the commentator.
A19WXS1CLVLEEX,45,1,AI,passive,implausible,321,The crackhead was smoked by the pipe.
A19WXS1CLVLEEX,46,7,AI,passive,plausible,59,The soda was drunk by the man.
A19WXS1CLVLEEX,47,1,AI,active,implausible,309,The gun loaded the minuteman.
A19WXS1CLVLEEX,48,2,AI,passive,implausible,293,The counselor were emphasized by the rules.
A19WXS1CLVLEEX,49,7,AI,passive,plausible,301,The poem was recited by the bookworm.
A19WXS1CLVLEEX,50,7,AAR,active,plausible1,263,The leader quoted the protestor.
A19WXS1CLVLEEX,51,7,AI,active,plausible,87,The celebrity signed the photograph.
A19WXS1CLVLEEX,52,5,AAN,active,implausible,331,The pop star stalked the paparazzi.
