Answer.English,Answer.country,Answer.profcheck1,Answer.profcheck2,WorkerId,TrialNum,Answer.Rating,TrialType,Voice,Plausibility,Item,Input.trial
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,1,1,AAR,active,plausible1,395,The swimmer impressed the surfer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,2,6,AAR,active,plausible1,217,The entertainer awed the poet.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,3,7,AAR,active,plausible0,391,The sharecropper misled the fieldworker.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,4,4,AAR,active,plausible0,193,The drummer annoyed the weatherman.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,5,4,AAR,active,plausible0,215,The mapmaker affronted the farmer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,6,7,AI,passive,plausible,315,The fund was established by the supremacist.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,7,1,AI,active,implausible,11,The alcohol provided the overseer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,8,7,filler,filler,NA,2,Please select the rightmost option.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,9,7,AAR,passive,plausible1,205,The nobleman was married by the baroness.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,10,1,filler,filler,NA,1,Please select the leftmost option.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,11,1,AAR,active,plausible1,249,The gnome protected the wizard.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,12,6,AAR,passive,plausible0,403,The mathematician was nagged by the physicist.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,13,6,AAN,passive,plausible,327,The actress was cast by the producer.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,14,1,AAN,passive,implausible,347,The lion was chased by the tour-guide.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,15,1,AAN,passive,implausible,123,The artisan was trained by the apprentice.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,16,1,AAN,passive,implausible,363,The anthropologist was studied by the tribesman.
no,OTHER,Yes,Yes,A3V2XCDF45VN9X,17,1,AAR,passive,plausible0,233,The oracle was baffled by the missionary.
