WorkerId,HITId,Answer.proficiency1,Answer.proficiency2,proficiency_check_passed
A002160837SWJFPIAI7L7,39O6Z4JLX2XDMZD8VSIHO89Y5PTVXI,"When I was younger, I would go to school and enjoy being in math class.","It's raining tomorrow, so I will wear an umbrella.",yes
A100Y89FZO4J0B,3TD33TP5DL2MH879F1Z33O4T0AFABT,"When I was younger, I would go to school and learn all type of things.","It's raining tomorrow, so I'll probably try to remember to have an umbrella on me.",yes
A1036BH0RBAF1O,378G7J1SJLYHVOMWQXXLML75VQVEW8,"When I was younger, I would go to school and learn many different subjects.","It's raining tomorrow, so make sure to bring an umbrella",yes
A107RJSS561Y7R,3NKW03WTLM76SRC1ZOSLG2WJFV8QWQ,"When I was younger, I would go to school and learn new things for the day.","It's raining tomorrow, so I will stay indoors.",yes
A10HW8JXM17XLD,3Y3N5A7N4G9JWH99MW3SKQXUF0MMY4,"When I was younger, I would go to school and read fiction books in the school library.","It's raining tomorrow, so we will have to reschedule our picnic.",yes
A10T0161B70BXP,3O0M2G5VC62ORQCV8GBGZFN3L26942,"When I was younger, I would go to school and learn new things from my teachers.","It's raining tomorrow, so we're going to stay inside instead.",yes
A10UFT30VZ8KLO,3W0XM68YZPVRGNY3PVJ3RQUGJAIK1Z,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so we should stay home.",yes
A110KENBXU7SUJ,3N2YPY1GI6Y4GZMR0NSP0JOROHTEVY,"When I was younger, I would go to school and read many books about science.","It's raining tomorrow, so I definitely don't want to wash the car today.",yes
A11FFJZ0C984W4,31HLTCK4BLV20DII6IID0M931X8GVH,"When I was younger, I would go to school and listen to the teacher.","It's raining tomorrow, so I will stay inside and read a book.",yes
A11FFJZ0C984W4,3ZG552ORAM4CLJAB73XOYIF2SGSV27,"When I was younger, I would go to school and listen to what the teacher said.","It's raining tomorrow, so I will stay home and read a book.",yes
A11S8IAAVDXCUS,3ZXNP4Z39RLGBFVNZBCD70Y8BWN7LM,"When I was younger, I would go to school and escape my bad home life.","It's raining tomorrow, so the dogs will try to refuse to go outside.",yes
A11W55U13HODN1,35XW21VSVGE2UDFFNEAO2RU4ZCPLSH,"When I was younger, I would go to school and work my butt off.","It's raining tomorrow, so I'll take the day off.",yes
