"WorkerId","HITId","num_questions","num_missed","ratio_missed","native_english","country_usa","filler1","filler2","fillers_correct"
"A27VFM67RPD2L5","3ECKRY5B1QWX5OTNX37J64ZF3XEZIN",42,0,0,TRUE,TRUE,1,7,TRUE
"A2M5OXOREG5HYY","33TGB4G0LPHY979JQXI2NQLD6EWTX1",42,0,0,TRUE,TRUE,1,7,TRUE
"A3F3A89U4ZXJJD","3MVY4USGB6N04C792BDBAB2CGIEIS1",42,0,0,TRUE,TRUE,1,7,TRUE
"A147F5PJTHOB8A","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"A1945USNZHTROX","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1B1Y6OBCA7XTZ","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1B5SSGMTAQ9B5","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A1BNYBF79IQ89T","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A1F3XD5WEK7H7E","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A1F9KLZGHE9DTA","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"A1KS9LITOVPAT8","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1LTJHPUTL7WM9","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1M682B2WUSYJP","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A1P6OXEJ86HQRM","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1SISJL5ST2PWH","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"A1VR1XQEQQXYUE","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"A1WS9UHL45VZ0X","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"A1XVEKS9O73ERE","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
